n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,alpha,repetition,batch,release_gain_pp
500,29,29,29,0.058,0.058,155,155,0.632,0.632,0.0,0.6117780794524699,0.6117780794524699,0.0,263,36,36,0.13688212927756654,0.13688212927756654,1.0,0,1,6.700000000000006
500,0,0,0,0.0,0.0,0,138,0.534,0.608,7.399999999999995,0.5198601394744967,0.6006965814902496,8.083644201575291,267,0,30,0.0,0.11235955056179775,0.0,0,2,6.700000000000006
500,1,1,1,0.002,0.002,22,139,0.552,0.608,5.599999999999994,0.5373012762829574,0.601158307850616,6.385703156765854,267,2,30,0.00749063670411985,0.11235955056179775,0.1,0,2,6.700000000000006
500,5,5,5,0.01,0.01,38,142,0.574,0.608,3.400000000000003,0.553245881083553,0.6027966086344371,4.955072755088407,267,3,32,0.011235955056179775,0.1198501872659176,0.2,0,2,6.700000000000006
500,14,14,14,0.028,0.028,60,145,0.588,0.616,2.8000000000000025,0.5685199320289719,0.6051489316035616,3.662899957458976,267,8,33,0.0299625468164794,0.12359550561797752,0.30000000000000004,0,2,6.700000000000006
500,13,13,13,0.026,0.026,77,144,0.604,0.614,1.0000000000000009,0.5784763709663536,0.6049748736233097,2.649850265695608,267,12,33,0.0449438202247191,0.12359550561797752,0.4,0,2,6.700000000000006
500,13,13,13,0.026,0.026,98,144,0.6,0.614,1.4000000000000012,0.5902192693115802,0.6049748736233097,1.4755604311729509,267,20,33,0.0749063670411985,0.12359550561797752,0.5,0,2,6.700000000000006
500,18,18,18,0.036,0.036,119,146,0.602,0.62,1.8000000000000016,0.6001064192524665,0.6057841731372016,0.5677753884735015,267,27,33,0.10112359550561797,0.12359550561797752,0.6000000000000001,0,2,6.700000000000006
500,17,17,17,0.034,0.034,126,145,0.614,0.618,0.40000000000000036,0.6022157298034366,0.6056328726854737,0.3417142882037094,267,28,33,0.10486891385767791,0.12359550561797752,0.7000000000000001,0,2,6.700000000000006
500,20,20,20,0.04,0.04,136,148,0.622,0.62,-0.20000000000000018,0.604756471517516,0.6060514851425883,0.12950136250723387,267,29,33,0.10861423220973783,0.12359550561797752,0.8,0,2,6.700000000000006
500,30,30,30,0.06,0.06,148,154,0.632,0.624,-0.8000000000000007,0.6064522148328226,0.6066345342988784,0.01823194660557359,267,31,35,0.11610486891385768,0.13108614232209737,0.9,0,2,6.700000000000006
500,33,33,33,0.066,0.066,155,155,0.624,0.624,0.0,0.6066800163124633,0.6066800163124633,0.0,267,35,35,0.13108614232209737,0.13108614232209737,1.0,0,2,6.700000000000006
500,0,0,0,0.0,0.0,0,143,0.498,0.604,10.599999999999998,0.5253339034765886,0.5974483916366525,7.211448816006394,249,0,28,0.0,0.11244979919678715,0.0,0,3,6.700000000000006
500,8,8,8,0.016,0.016,19,149,0.512,0.614,10.199999999999998,0.5403159436653732,0.6000353909833659,5.971944731799272,249,4,29,0.01606425702811245,0.11646586345381527,0.1,0,3,6.700000000000006
500,5,5,5,0.01,0.01,41,146,0.54,0.61,6.999999999999995,0.5565297032050709,0.5992214026666197,4.269169946154882,249,7,28,0.028112449799196786,0.11244979919678715,0.2,0,3,6.700000000000006
500,7,7,7,0.014,0.014,56,148,0.554,0.616,6.199999999999994,0.5665314076092315,0.5998022312561438,3.327082364691236,249,9,28,0.03614457831325301,0.11244979919678715,0.30000000000000004,0,3,6.700000000000006
500,12,12,12,0.024,0.024,76,149,0.568,0.61,4.200000000000004,0.5799063513727182,0.600873061934669,2.0966710561950874,249,12,30,0.04819277108433735,0.12048192771084337,0.4,0,3,6.700000000000006
500,12,12,12,0.024,0.024,92,149,0.588,0.61,2.200000000000002,0.5874308841366073,0.600873061934669,1.3442177798061783,249,14,30,0.05622489959839357,0.12048192771084337,0.5,0,3,6.700000000000006
500,12,12,12,0.024,0.024,107,149,0.588,0.61,2.200000000000002,0.5933353213235303,0.600873061934669,0.7537740611138766,249,19,30,0.07630522088353414,0.12048192771084337,0.6000000000000001,0,3,6.700000000000006
500,20,20,20,0.04,0.04,120,149,0.6,0.618,1.8000000000000016,0.597090505259554,0.6021538088105743,0.506330355102036,249,21,28,0.08433734939759036,0.11244979919678715,0.7000000000000001,0,3,6.700000000000006
500,28,28,28,0.056,0.056,140,152,0.614,0.618,0.40000000000000036,0.6016128685640695,0.6027372958753633,0.11244273112938075,249,26,28,0.10441767068273092,0.11244979919678715,0.8,0,3,6.700000000000006
500,27,27,27,0.054,0.054,146,151,0.624,0.616,-0.8000000000000007,0.6025781616349744,0.6026914462151975,0.01132845802231941,249,26,28,0.10441767068273092,0.11244979919678715,0.9,0,3,6.700000000000006
500,34,34,34,0.068,0.068,155,155,0.622,0.622,0.0,0.6029509825511034,0.6029509825511034,0.0,249,29,29,0.11646586345381527,0.11646586345381527,1.0,0,3,6.700000000000006
500,0,0,0,0.0,0.0,0,145,0.518,0.578,5.999999999999995,0.5149887334022025,0.5881611187897307,7.317238538752813,259,0,39,0.0,0.15057915057915058,0.0,0,4,6.700000000000006
500,5,5,5,0.01,0.01,16,150,0.532,0.576,4.399999999999993,0.5281544650456026,0.5898018974939974,6.164743244839476,259,1,41,0.003861003861003861,0.1583011583011583,0.1,0,4,6.700000000000006
500,10,10,10,0.02,0.02,36,150,0.544,0.58,3.599999999999992,0.5459601167281751,0.5909963655275523,4.503624879937718,259,5,39,0.019305019305019305,0.15057915057915058,0.2,0,4,6.700000000000006
500,9,9,9,0.018,0.018,50,151,0.562,0.578,1.5999999999999903,0.5594059773132873,0.5907745128304038,3.136853551711649,259,8,40,0.03088803088803089,0.15444015444015444,0.30000000000000004,0,4,6.700000000000006
500,9,9,9,0.018,0.018,66,151,0.57,0.578,0.8000000000000007,0.5667445302579222,0.5907745128304038,2.402998257248168,259,11,40,0.04247104247104247,0.15444015444015444,0.4,0,4,6.700000000000006
500,17,17,17,0.034,0.034,89,150,0.584,0.58,-0.40000000000000036,0.5804336645027426,0.5922329308588816,1.1799266356139038,259,17,39,0.06563706563706563,0.15057915057915058,0.5,0,4,6.700000000000006
500,23,23,23,0.046,0.046,101,152,0.584,0.586,0.20000000000000018,0.5854795338844307,0.5927358099203711,0.7256276035940368,259,22,38,0.08494208494208494,0.14671814671814673,0.6000000000000001,0,4,6.700000000000006
500,23,23,23,0.046,0.046,110,152,0.582,0.586,0.40000000000000036,0.5877471070223587,0.5927358099203711,0.49887028980124537,259,26,38,0.10038610038610038,0.14671814671814673,0.7000000000000001,0,4,6.700000000000006
500,28,28,28,0.056,0.056,128,148,0.592,0.588,-0.40000000000000036,0.5914464747263537,0.5929903665025272,0.15438917761735338,259,30,37,0.11583011583011583,0.14285714285714285,0.8,0,4,6.700000000000006
500,31,31,31,0.062,0.062,140,149,0.594,0.592,-0.20000000000000018,0.5927903677101927,0.593078199208155,0.028783149796229868,259,33,36,0.1274131274131274,0.138996138996139,0.9,0,4,6.700000000000006
500,33,33,33,0.066,0.066,149,149,0.592,0.592,0.0,0.5931121758582558,0.5931121758582558,0.0,259,36,36,0.138996138996139,0.138996138996139,1.0,0,4,6.700000000000006
500,0,0,0,0.0,0.0,0,137,0.552,0.61,5.799999999999994,0.5325066390978643,0.6075371267108896,7.503048761302522,276,0,31,0.0,0.11231884057971014,0.0,1,0,8.250000000000002
500,4,4,4,0.008,0.008,22,138,0.564,0.618,5.400000000000005,0.5506590228418268,0.6090429245158997,5.838390167407292,276,3,30,0.010869565217391304,0.10869565217391304,0.1,1,0,8.250000000000002
500,2,2,2,0.004,0.004,42,138,0.59,0.614,2.400000000000002,0.5681301932637006,0.6084256277207034,4.029543445700279,276,4,31,0.014492753623188406,0.11231884057971014,0.2,1,0,8.250000000000002
500,5,5,5,0.01,0.01,58,138,0.604,0.62,1.6000000000000014,0.5791767243671088,0.6092928238201809,3.0116099453072143,276,6,30,0.021739130434782608,0.10869565217391304,0.30000000000000004,1,0,8.250000000000002
500,7,7,7,0.014,0.014,73,139,0.61,0.622,1.200000000000001,0.589039087759824,0.6097643107680422,2.0725223008218108,276,10,29,0.036231884057971016,0.10507246376811594,0.4,1,0,8.250000000000002
500,10,10,10,0.02,0.02,91,142,0.614,0.624,1.0000000000000009,0.5975080199794256,0.610375839369139,1.2867819389713375,276,16,30,0.057971014492753624,0.10869565217391304,0.5,1,0,8.250000000000002
500,17,17,17,0.034,0.034,106,147,0.624,0.626,0.20000000000000018,0.6038908107916721,0.6114888685603365,0.7598057768664401,276,19,31,0.06884057971014493,0.11231884057971014,0.6000000000000001,1,0,8.250000000000002
500,18,18,18,0.036,0.036,118,146,0.632,0.628,-0.40000000000000036,0.6076879833006287,0.6116213669496788,0.39333836490501595,276,20,30,0.07246376811594203,0.10869565217391304,0.7000000000000001,1,0,8.250000000000002
500,21,21,21,0.042,0.042,135,146,0.628,0.63,0.20000000000000018,0.6111470737588655,0.6120025332622298,0.08554595033642975,276,26,29,0.09420289855072464,0.10507246376811594,0.8,1,0,8.250000000000002
500,27,27,27,0.054,0.054,144,149,0.62,0.626,0.6000000000000005,0.6122716652309893,0.6124579861964045,0.01863209654151543,276,31,31,0.11231884057971014,0.11231884057971014,0.9,1,0,8.250000000000002
500,29,29,29,0.058,0.058,149,149,0.624,0.624,0.0,0.61247199150542,0.61247199150542,0.0,276,32,32,0.11594202898550725,0.11594202898550725,1.0,1,0,8.250000000000002
500,0,0,0,0.0,0.0,0,136,0.514,0.614,9.999999999999998,0.5385335391541994,0.6107556155776684,7.2222076423469,257,0,22,0.0,0.08560311284046693,0.0,1,1,8.250000000000002
500,3,3,3,0.006,0.006,17,136,0.528,0.618,8.999999999999996,0.5517892332990951,0.6116399466266969,5.985071332760173,257,3,21,0.011673151750972763,0.08171206225680934,0.1,1,1,8.250000000000002
