n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,baseline_true_value,operational_true_value,conditional_gain_pp,score_error_penalty_pp,robust_lower_bound_pp,alpha,scenario,repetition,batch,release_gain_pp
300,4,4,4,0.013333333333333334,0.013333333333333334,26,74,0.61,0.63,2.0000000000000018,0.5854794595066777,0.6199389357661461,3.4459476259468436,171,5,21,0.029239766081871343,0.12280701754385964,0.5763512256338775,0.6095595356854878,3.320831005161029,3.7137271415473556,-0.26777951560051205,0.25,well_estimated,2,1,7.15
300,8,8,8,0.02666666666666667,0.02666666666666667,51,76,0.6366666666666667,0.6266666666666667,-1.0000000000000009,0.6132035596512391,0.6210490946558539,0.7845535004614823,171,10,22,0.05847953216374269,0.1286549707602339,0.6025305062499728,0.6106958229946187,0.8165316744645823,3.776053359421417,-2.991499858959935,0.5,well_estimated,2,1,7.15
300,12,12,12,0.04,0.04,64,75,0.6433333333333333,0.6266666666666667,-1.6666666666666607,0.6188259320235325,0.6216988096469858,0.28728776234532294,171,14,21,0.08187134502923976,0.12280701754385964,0.6090545189555278,0.6117268009134829,0.26722819579551027,3.7787168648265834,-3.4914291024812605,0.75,well_estimated,2,1,7.15
300,17,17,17,0.056666666666666664,0.056666666666666664,77,77,0.6233333333333333,0.6233333333333333,0.0,0.6220378214535591,0.6220378214535591,0.0,171,22,22,0.1286549707602339,0.1286549707602339,0.6123827314678711,0.6123827314678711,0.0,3.786115610120851,-3.786115610120851,1.0,well_estimated,2,1,7.15
300,0,0,0,0.0,0.0,0,89,0.5,0.6,9.999999999999998,0.5309279603068954,0.6197205722293374,8.879261192244204,150,0,15,0.0,0.1,0.5227665075384692,0.6077430123055669,8.497650476709772,3.6879198121598282,5.191341380084376,0.0,well_estimated,2,2,7.15
300,5,5,5,0.016666666666666666,0.016666666666666666,32,89,0.5466666666666666,0.59,4.333333333333334,0.5722345978831455,0.6225399007035457,5.030530282040024,150,5,16,0.03333333333333333,0.10666666666666667,0.5633405648331112,0.6104995420668667,4.715897723375551,3.7958201888569647,1.2347100931830592,0.25,well_estimated,2,2,7.15
300,8,8,8,0.02666666666666667,0.02666666666666667,60,92,0.5933333333333334,0.5933333333333334,0.0,0.6062590383427137,0.6239499947806959,1.7690956437982241,150,8,17,0.05333333333333334,0.11333333333333333,0.5972148613902065,0.6117224072169953,1.4507545826788815,3.840659955528252,-2.071564311730028,0.5,well_estimated,2,2,7.15
300,18,18,18,0.06,0.06,89,99,0.6033333333333334,0.6033333333333334,0.0,0.6240293106723946,0.6262010993692597,0.21717886968650735,150,16,20,0.10666666666666667,0.13333333333333333,0.6141926573950404,0.6153274373248884,0.11347799298480066,3.895836973404837,-3.6786581037183295,0.75,well_estimated,2,2,7.15
300,21,21,21,0.07,0.07,101,101,0.6033333333333334,0.6033333333333334,0.0,0.6262837732102887,0.6262837732102887,0.0,150,21,21,0.14,0.14,0.6156297350029576,0.6156297350029576,0.0,3.9142547947598345,-3.9142547947598345,1.0,well_estimated,2,2,7.15
300,0,0,0,0.0,0.0,0,97,0.52,0.6433333333333333,12.333333333333329,0.5107474042698209,0.6040494772059343,9.330207293611338,156,0,15,0.0,0.09615384615384616,0.5017786023005887,0.5916593512909883,8.988074899039965,3.7357860765954127,5.594421217015925,0.0,well_estimated,2,3,7.15
300,13,13,13,0.043333333333333335,0.043333333333333335,35,104,0.58,0.6533333333333333,7.333333333333336,0.5600079652859392,0.6115019697169657,5.149400443102648,156,3,18,0.019230769230769232,0.11538461538461539,0.5500399774604866,0.5995535337944512,4.951355633396459,3.9035553592135295,1.2458450838891184,0.25,well_estimated,2,3,7.15
300,16,16,16,0.05333333333333334,0.05333333333333334,69,104,0.6333333333333333,0.66,2.6666666666666727,0.5963329162135809,0.6126496717944974,1.6316755580916498,156,8,18,0.05128205128205128,0.11538461538461539,0.5850783079857067,0.6007505416638941,1.5672233678187375,4.009495831193881,-2.3778202731022313,0.5,well_estimated,2,3,7.15
300,25,25,25,0.08333333333333333,0.08333333333333333,89,105,0.66,0.66,0.0,0.6101416775841244,0.6147451080956462,0.4603430511521789,156,13,19,0.08333333333333333,0.12179487179487179,0.5988886612452793,0.6031136910966081,0.42250298513287765,4.04664500620732,-3.586301955055141,0.75,well_estimated,2,3,7.15
300,29,29,29,0.09666666666666666,0.09666666666666666,108,108,0.67,0.67,0.0,0.615021934291483,0.615021934291483,0.0,156,19,19,0.12179487179487179,0.12179487179487179,0.6033258065823639,0.6033258065823639,0.0,4.0971184738900694,-4.0971184738900694,1.0,well_estimated,2,3,7.15
300,0,0,0,0.0,0.0,0,84,0.49666666666666665,0.6233333333333333,12.666666666666664,0.5210495347846049,0.5936734430856202,7.262390830101529,149,0,11,0.0,0.0738255033557047,0.5132161674408486,0.5914971677766359,7.828100033578722,3.8157846178518042,3.4466062122497245,0.0,well_estimated,3,0,7.050000000000001
300,6,6,6,0.02,0.02,28,84,0.5533333333333333,0.6233333333333333,6.999999999999995,0.5615842883866803,0.5960490921072875,3.446480372060723,149,2,10,0.013422818791946308,0.06711409395973154,0.5559575718879008,0.5937889254706104,3.7831353582709504,3.963616939298852,-0.5171365672381292,0.25,well_estimated,3,0,7.050000000000001
300,5,5,5,0.016666666666666666,0.016666666666666666,53,83,0.5833333333333334,0.6233333333333333,3.9999999999999925,0.5828739923623272,0.5959458013041122,1.3071808941785057,149,7,10,0.04697986577181208,0.06711409395973154,0.578598384544986,0.5937603253999142,1.5161940854928169,3.9762627591145288,-2.669081864936023,0.5,well_estimated,3,0,7.050000000000001
300,6,6,6,0.02,0.02,70,84,0.6133333333333333,0.6233333333333333,1.0000000000000009,0.5939029360882679,0.5960490921072875,0.2146156019019574,149,8,10,0.053691275167785234,0.06711409395973154,0.5907323394305075,0.5937889254706104,0.3056586040102838,3.9995172626752464,-3.784901660773289,0.75,well_estimated,3,0,7.050000000000001
300,12,12,12,0.04,0.04,89,89,0.62,0.62,0.0,0.596381386058964,0.596381386058964,0.0,149,13,13,0.087248322147651,0.087248322147651,0.5944712786564141,0.5944712786564141,0.0,4.007066660798475,-4.007066660798475,1.0,well_estimated,3,0,7.050000000000001
300,0,0,0,0.0,0.0,0,82,0.5366666666666666,0.58,4.333333333333334,0.5424924846114595,0.6092590189140811,6.676653430262158,161,0,22,0.0,0.13664596273291926,0.535085642473982,0.6078757881042006,7.279014563021857,3.973835360398845,2.702818069863313,0.0,well_estimated,3,1,7.050000000000001
300,5,5,5,0.016666666666666666,0.016666666666666666,25,77,0.5533333333333333,0.5833333333333334,3.0000000000000027,0.5773395523503368,0.6101512780522877,3.28117257019509,161,5,20,0.031055900621118012,0.12422360248447205,0.5722371130782438,0.6090408936996736,3.680378062142986,4.049240843414593,-0.7680682732195026,0.25,well_estimated,3,1,7.050000000000001
300,7,7,6,0.023333333333333334,0.02,46,76,0.5733333333333334,0.5833333333333334,1.0000000000000009,0.5974243123418528,0.6101957538259867,1.2771441484133894,161,10,20,0.062111801242236024,0.12422360248447205,0.5930655810556333,0.60890571366437,1.5840132608736623,4.0452111787140135,-2.768067030300624,0.5,well_estimated,3,1,7.050000000000001
300,8,8,6,0.02666666666666667,0.02,63,76,0.58,0.5833333333333334,0.33333333333334103,0.6083081576811386,0.6101957538259867,0.1887596144848125,161,16,20,0.09937888198757763,0.12422360248447205,0.6060642138473848,0.60890571366437,0.2841499816985116,4.06806123533703,-3.8793016208522175,0.75,well_estimated,3,1,7.050000000000001
300,6,6,6,0.02,0.02,76,76,0.5833333333333334,0.5833333333333334,0.0,0.6101957538259867,0.6101957538259867,0.0,161,20,20,0.12422360248447205,0.12422360248447205,0.60890571366437,0.60890571366437,0.0,4.089479837462246,-4.089479837462246,1.0,well_estimated,3,1,7.050000000000001
300,0,0,0,0.0,0.0,0,92,0.4866666666666667,0.58,9.333333333333327,0.5074759004580403,0.5936488298822833,8.617292942424303,146,0,15,0.0,0.10273972602739725,0.499875342838783,0.5892148074217741,8.933946458299113,4.12240484237054,4.494888100053763,0.0,well_estimated,3,2,7.050000000000001
300,7,7,7,0.023333333333333334,0.023333333333333334,29,95,0.5266666666666666,0.5833333333333334,5.666666666666675,0.5490849266341153,0.5981914331425199,4.910650650840454,146,4,16,0.0273972602739726,0.1095890410958904,0.5413936689480136,0.5938517061247337,5.245803717672015,4.279596855791167,0.6310537950492865,0.25,well_estimated,3,2,7.050000000000001
300,4,4,4,0.013333333333333334,0.013333333333333334,59,93,0.5666666666666667,0.5766666666666667,1.0000000000000009,0.5834266683903467,0.5966848938890302,1.3258225498683496,146,6,16,0.0410958904109589,0.1095890410958904,0.5774696195861008,0.5921288789313082,1.4659259345207398,4.3850171197740675,-3.059194569905718,0.5,well_estimated,3,2,7.050000000000001
300,12,12,12,0.04,0.04,83,95,0.59,0.5933333333333334,0.33333333333334103,0.5974147977495382,0.5995914488230902,0.21766510735520272,146,12,15,0.0821917808219178,0.10273972602739725,0.5940319241007088,0.595889662358215,0.18577382575062362,4.417178272059747,-4.199513164704545,0.75,well_estimated,3,2,7.050000000000001
300,19,19,19,0.06333333333333334,0.06333333333333334,96,96,0.6,0.6,0.0,0.6000866829371148,0.6000866829371148,0.0,146,15,15,0.10273972602739725,0.10273972602739725,0.5962502484233911,0.5962502484233911,0.0,4.410605039040786,-4.410605039040786,1.0,well_estimated,3,2,7.050000000000001
300,0,0,0,0.0,0.0,0,84,0.52,0.5966666666666667,7.666666666666666,0.5453238724674783,0.6149434838416337,6.96196113741554,156,0,17,0.0,0.10897435897435898,0.5359364237218,0.6103011296161658,7.436470589436583,4.1408359567542945,2.8211251806612454,0.0,well_estimated,3,3,7.050000000000001
300,10,10,10,0.03333333333333333,0.03333333333333333,28,82,0.5466666666666666,0.6066666666666667,6.000000000000005,0.5830449572090491,0.619294060380571,3.6249103171521857,156,4,15,0.02564102564102564,0.09615384615384616,0.5743859930558844,0.6162432531058861,4.185726005000168,4.211044816079896,-0.5861344989277106,0.25,well_estimated,3,3,7.050000000000001
300,18,18,18,0.06,0.06,50,81,0.57,0.6066666666666667,3.6666666666666736,0.6091434267327501,0.6202124410738485,1.1069014341098415,156,9,16,0.057692307692307696,0.10256410256410256,0.6023421364411999,0.6175492323586124,1.5207095917412428,4.245705090287807,-3.138803656177965,0.5,well_estimated,3,3,7.050000000000001
300,22,22,20,0.07333333333333333,0.06666666666666667,70,81,0.6066666666666667,0.6066666666666667,0.0,0.6193779384427136,0.6202594315682775,0.0881493125563848,156,12,16,0.07692307692307693,0.10256410256410256,0.615586465803118,0.6170736887503716,0.14872229472535636,4.229879866032041,-4.141730553475656,0.75,well_estimated,3,3,7.050000000000001
300,20,20,20,0.06666666666666667,0.06666666666666667,81,81,0.6066666666666667,0.6066666666666667,0.0,0.6202594315682775,0.6202594315682775,0.0,156,16,16,0.10256410256410256,0.10256410256410256,0.6170736887503716,0.6170736887503716,0.0,4.2449078900712,-4.2449078900712,1.0,well_estimated,3,3,7.050000000000001
300,0,0,0,0.0,0.0,0,95,0.5433333333333333,0.6266666666666667,8.333333333333337,0.5178667001403054,0.603010062019756,8.514336187945059,163,0,26,0.0,0.15950920245398773,0.5085020288055155,0.5918585193890693,8.335649058355376,3.703221176901445,4.811115011043613,0.0,well_estimated,4,0,7.400000000000007
300,4,4,4,0.013333333333333334,0.013333333333333334,24,96,0.59,0.61,2.0000000000000018,0.5520971790285467,0.6056301403572314,5.3532961328684685,163,3,28,0.018404907975460124,0.17177914110429449,0.5423031097461702,0.594296270090253,5.199316034408275,3.767044668597634,1.5862514642708345,0.25,well_estimated,4,0,7.400000000000007
